catName,catId,pathCount,paths
Womens Beauty Accessories,Womens-Beauty-Accessories,2,"[""Beauty/Electrical/Spare-Parts-Accessories"",""Electrical/Spare-Parts-Accessories""]"
Men's Lip Balm,Mens-Lip-Balm,1,"[""Men/Skincare""]"
Lip care,Lip-care,2,"[""Beauty/Make-up/Lips"",""Beauty/Skincare""]"
Bottom wipers,Bottom-wipers,1,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids/Bathroom-toileting-aids""]"
Healthy Scalp,Healthy-Scalp,1,"[""Toiletries/Hair""]"
Oil control,Oil-control,2,"[""Beauty/Premium-Beauty/Premium-mens/Skincare"",""Men/Premium-mens/Skincare""]"
Ulcers,Ulcers,1,"[""Pharmacy-Health/Health-shop/Mouth-care""]"
SPF 35+,SPF-35-,1,"[""Beauty/Premium-Beauty/Bath-body/Sun-protection""]"
Travel health,Travel-health,1,"[""Pharmacy-Health/Health-shop""]"
Photo Mugs,Photo-Mugs,2,"[""Photo/Photo-Printing"",""Photo/Albums-Frames/Photo-Printing""]"
Canvas Prints,Canvas-Prints,2,"[""Photo/Photo-Printing"",""Photo/Albums-Frames/Photo-Printing""]"
Washing & Bathing,Washing-Bathing,1,"[""Toiletries""]"
Liners,Liners,1,"[""Toiletries/For-Her""]"
Sheers,Sheers,1,"[""Beauty/Accessories/Lingerie-Hosiery""]"
Energy supplements,Energy-supplements,1,"[""Pharmacy-Health/Health-shop/Sports-nutrition""]"
Boots WebMD,Boots-WebMD,1,"[""Pharmacy-Health/Health-information""]"
Women's health,Womens-health,1,"[""Pharmacy-Health/Health-shop""]"
Tinted Moisturisers,Tinted-Moisturisers,2,"[""Beauty/Premium-Beauty/Make-up/Face"",""Beauty/Make-up/Make-up/Face""]"
Phone & Tablet Accessories,Phone-Tablet-Accessories,2,"[""Beauty/Electrical"",""Electrical""]"
Diabetes: What are the healthy foods?,Diabetes-What-are-the-healthy-foods-,1,"[""Pharmacy-Health/Health-shop/Diabetes/Diabetes-information""]"
Kitchen & home,Kitchen-home,1,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids""]"
Worms,Worms,1,"[""Pharmacy-Health/Health-shop/Embarrassing-conditions""]"
Electrical Toothbrushes & Flossers,Electrical-Toothbrushes-Flossers,2,"[""Pharmacy-Health/Health-shop/Dental/Teeth-Whitening"",""Toiletries/Dental/Teeth-Whitening""]"
Boots Kitchen Appliances,Boots-Kitchen-Appliances,2,"[""Beauty/Electrical"",""Electrical""]"
Men's Value Packs,Mens-Value-Packs,1,"[""Men""]"
Slim Fast Meal Replacement Bars,Slim-Fast-Meal-Replacement-Bars,1,"[""Pharmacy-Health/Health-shop/Diet-weight-loss/Meal-replacements/SlimFast""]"
New & exclusive,New-exclusive,2,"[""Beauty/Indulgent-Bodycare-Gift"",""Toiletries/Washing-Bathing/Indulgent-Bodycare-Gift""]"
Construction toys,Construction-toys,2,"[""Toys"",""Gift/Toys""]"
Sweeteners,Sweeteners,1,"[""Pharmacy-Health/Health-shop/Diabetes/Diabetes-shop""]"
Latest health discoveries,Latest-health-discoveries,1,"[""Pharmacy-Health/Health-shop/Health-discoveries""]"
Gripping & reaching aids,Gripping-reaching-aids,1,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids/Kitchen-home""]"
Outdoor toys,Outdoor-toys,2,"[""Toys"",""Gift/Toys""]"
Hair Toners,Hair-Toners,2,"[""Beauty/Hair/Colourants"",""Toiletries/Hair/Colourants""]"
Slim Fast 3.2.1 Plan,Slim-Fast-3-2-1-Plan,1,"[""Pharmacy-Health/Health-shop/Diet-weight-loss/Meal-replacements/SlimFast""]"
Mobility scooter accessories,Mobility-scooter-accessories,1,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids/Mobility-aids""]"
Healthy gums,Healthy-gums,2,"[""Pharmacy-Health/Health-shop/Dental"",""Toiletries/Dental""]"
Eye Accessories,Eye-Accessories,2,"[""Beauty/Make-up/Eyes"",""Beauty/Accessories""]"
Self-Adhesive Albums,Self-Adhesive-Albums,1,"[""Photo/Albums-Frames""]"
Children's fever & pain relief,Childrens-fever-pain-relief,3,"[""Pharmacy-Health/Health-shop/Baby-child-health"",""Pharmacy-Health/Health-shop/Cough-cold-flu"",""Pharmacy-Health/Health-shop/Pain-relief""]"
Flight socks,Flight-socks,1,"[""Pharmacy-Health/Health-shop/Travel-health""]"
Vitamin Award Winners 2015,Vitamin-Award-Winners-2015,1,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category""]"
Fragrance deodorants,Fragrance-deodorants,5,"[""Beauty/Fragrance/Perfume"",""Beauty/Fragrance/Aftershave"",""Fragrance/Perfume"",""Fragrance/Aftershave"",""Men/Aftershave""]"
Buy one get one free only on Tuesdays in December 2016,oneonefree/,1,"[""oneonefree/""]"
Nail Tools,Nail-Tools,3,"[""Beauty/Make-up/Nails"",""Beauty/Nails"",""Beauty/Accessories/Nails""]"
Beauty vitamins and supplements,Beauty-vitamins-and-supplements,1,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category/Revitalise-Your-Routine""]"
Gel,Gel,2,"[""Beauty/Hair/Styling"",""Toiletries/Hair/Styling""]"
Cough & cold,Cough-cold,1,"[""Pharmacy-Health/Health-shop/Pregnancy-breastfeeding""]"
Shop by brand,Shop-by-brand,1,"[""Pharmacy-Health/Health-shop/Sports-nutrition""]"
Offers for over 60s,Offers-for-over-60s,12,"[""Pharmacy-Health/Health-shop/Opticians/Glasses/Prescription-Sunglasses/Opticians-offers"",""Pharmacy-Health/Health-shop/Opticians/Glasses/Opticians-offers"",""Pharmacy-Health/Health-shop/Opticians/Sunglasses/Prescription-Sunglasses/Opticians-offers"",""Pharmacy-Health/Health-shop/Opticians/Opticians-offers"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Glasses/Prescription-Sunglasses/Opticians-offers"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Glasses/Opticians-offers"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Sunglasses/Prescription-Sunglasses/Opticians-offers"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Opticians-offers"",""Opticians/Glasses/Prescription-Sunglasses/Opticians-offers"",""Opticians/Glasses/Opticians-offers"",""Sun-Holiday/Sunglasses/Prescription-Sunglasses/Opticians-offers"",""Opticians/Opticians-offers""]"
Mature skin,Mature-skin,1,"[""Beauty/Premium-Beauty/Skincare/Skin-type""]"
Baby & child health,Baby-child-health,1,"[""Pharmacy-Health/Health-shop""]"
Travel insurance,Travel-insurance,1,"[""Pharmacy-Health/Health-shop/Travel-health""]"
Sunburn,Sunburn,4,"[""Pharmacy-Health/Health-shop/First-aid"",""Pharmacy-Health/Health-shop/Skin-care"",""Pharmacy-Health/Health-shop/Travel-health"",""Pharmacy-Health/Health-shop/Travel-health/First-aid""]"
Loose powder,Loose-powder,2,"[""Beauty/Premium-Beauty/Make-up/Face"",""Beauty/Make-up/Make-up/Face""]"
Pregnancy & Breastfeeding Guide,Pregnancy-Breastfeeding-Guide,1,"[""Pharmacy-Health/Health-shop/Pregnancy-breastfeeding""]"
First Aid Kits,First-Aid-Kits,2,"[""Pharmacy-Health/Health-shop/First-aid"",""Pharmacy-Health/Health-shop/Travel-health/First-aid""]"
Look great by feeling great,Look-great-by-feeling-great,1,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category/Revitalise-Your-Routine""]"
Diabetes shop,Diabetes-shop,1,"[""Pharmacy-Health/Health-shop/Diabetes""]"
Photo Calendars,Photo-Calendars,2,"[""Photo/Photo-Printing"",""Photo/Albums-Frames/Photo-Printing""]"
Halloween Accessories,Halloween-Accessories,3,"[""Beauty/Halloween"",""Beauty/Accessories/Halloween"",""Offers/Seasonal-Events/Halloween""]"
Immunity vitamins & supplements,Immunity-vitamins-supplements,1,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category""]"
Eye care accessories,Eye-care-accessories,8,"[""Pharmacy-Health/Health-shop/Eye-care"",""Pharmacy-Health/Health-shop/Opticians/Eye-Health/Eye-care"",""Pharmacy-Health/Health-shop/Opticians/Eye-care"",""Pharmacy-Health/Health-information/Eye-Health/Eye-care"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Eye-Health/Eye-care"",""Pharmacy-Health/Health-pharmacy-services/Opticians/Eye-care"",""Opticians/Eye-Health/Eye-care"",""Opticians/Eye-care""]"
Sun Protection for Kids,Sun-Protection-for-Kids,1,"[""Toiletries/Sun-care""]"
Inhalators,Inhalators,2,"[""Pharmacy-Health/Health-shop/Planning-for-a-baby/Stop-smoking"",""Pharmacy-Health/Health-shop/Stop-smoking""]"
All Albums,All-Albums,1,"[""Photo/Albums-Frames""]"
Women's health vitamins & supplements,Womens-health-vitamins-supplements,2,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category"",""Pharmacy-Health/Health-shop/Womens-health""]"
Opaques,Opaques,1,"[""Beauty/Accessories/Lingerie-Hosiery""]"
Bone health vitamins & supplements,Bone-health-vitamins-supplements,1,"[""Pharmacy-Health/Health-shop/Vitamins-supplements/Shop-by-category""]"
Gift Experience,Gift-Experience,1,"[""Gift/Gifts-by-type""]"
Pill dispensers,Pill-dispensers,1,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids/Kitchen-home""]"
Concealers,Concealers,2,"[""Beauty/Premium-Beauty/Make-up/Face"",""Beauty/Make-up/Make-up/Face""]"
Battery powered toothbrushes,Battery-powered-toothbrushes,2,"[""Pharmacy-Health/Health-shop/Dental"",""Toiletries/Dental""]"
Christmas gifts,Christmas-gifts,1,"[""Gift/Boots-personalised-gifts""]"
Men's Hand & Body Cream,Mens-Hand-Body-Cream,1,"[""Men/Skincare""]"
Deodorant offers,Deodorant-offers,1,"[""Toiletries/Toiletries-offers""]"
How-to: apply false eyelashes,How-to-apply-false-eyelashes,1,"[""Beauty/Beauty-Tips-Inspiration/Eyes""]"
Wheelchairs & accessories,Wheelchairs-accessories,2,"[""Pharmacy-Health/Health-shop/Mobility-daily-living-aids"",""Pharmacy-Health/Health-shop/Mobility-daily-living-aids/Mobility-aids""]"
