catId,parentCatId
Health-shop,Pharmacy-Health
Online-Clinic,Pharmacy-Health
Health-information,Pharmacy-Health
Health-pharmacy-services,Pharmacy-Health
Pharmacy-Health-Offers,Pharmacy-Health
Health-Beauty-magazine,Pharmacy-Health
Health-Hero-Awards,Pharmacy-Health
Boots-Macmillan-Cancer-Support,Pharmacy-Health
Book-an-appointment,Pharmacy-Health
Allergy-hayfever,Health-shop
Alternative-therapy,Health-shop
Baby-child-health,Health-shop
Back-to-School,Health-shop
Beauty-Vitamins-Supplements,Health-shop
Condoms-sexual-health,Health-shop
Cough-cold-flu,Health-shop
Dental,Health-shop
Diabetes,Health-shop
Diet-weight-loss,Health-shop
Electrical-Health,Health-shop
Earcare,Health-shop
E-Cigarettes,Health-shop
Embarrassing-conditions,Health-shop
Eye-care,Health-shop
First-aid,Health-shop
Fitness,Health-shop
Food-Drink,Health-shop
Foot-care,Health-shop
Hair-loss,Health-shop
Health-fitness-trackers,Health-shop
Health-discoveries,Health-shop
Hearingcare,Health-shop
Heart-health,Health-shop
Home-care,Health-shop
Incontinence,Health-shop
Mens-health,Health-shop
Mobility-daily-living-aids,Health-shop
Mouth-care,Health-shop
Opticians,Health-shop
Pain-relief,Health-shop
Pet-health,Health-shop
Pharmacy-health-offers,Health-shop
Planning-for-a-baby,Health-shop
Pregnancy-breastfeeding,Health-shop
Skin-care,Health-shop
Sleep-stress-energy,Health-shop
Sports-nutrition,Health-shop
Stomach-Bowel,Health-shop
Stop-smoking,Health-shop
Travel-health,Health-shop
Vitamins-supplements,Health-shop
Womens-health,Health-shop
Tips-to-prevent-hayfever,Allergy-hayfever
Air-filters-humidifiers,Allergy-hayfever
Allergy-hayfever-alternative-therapy,Allergy-hayfever
Allergy-hayfever-bundles,Allergy-hayfever
Allergy-hayfever-eye-drops,Allergy-hayfever
Allergy-hayfever-information,Allergy-hayfever
Allergy-hayfever-nasal-sprays,Allergy-hayfever
Allergy-hayfever-syrups,Allergy-hayfever
Allergy-hayfever-tablets,Allergy-hayfever
Anti-allergy-bedding,Allergy-hayfever
Baby-child-allergy-hayfever,Allergy-hayfever
Sensitive-skin-cleaning-products,Allergy-hayfever
All-Allergy-Hayfever,Allergy-hayfever
Allergy-hayfever-alternative-therapy,Alternative-therapy
Aromatherapy,Alternative-therapy
Childrens-alternative-therapy,Alternative-therapy
Confectionery,Alternative-therapy
Digestion-alternative-therapy,Alternative-therapy
Flower-remedies,Alternative-therapy
Heart-circulation-alternative-therapy,Alternative-therapy
Homeopathy,Alternative-therapy
Immunity-alternative-therapy,Alternative-therapy
Skin-care-alternative-therapy,Alternative-therapy
Sleep-stress-energy-alternative-therapy,Alternative-therapy
Travel-alternative-therapy,Alternative-therapy
