"rank","itemUrl","itemTitle","author","description","genres","genrecount"
"1","/book/show/2767052-the-hunger-games","The Hunger Games (The Hunger Games, #1)","Suzanne Collins","Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as t
  Winning will make you famous. Losing means certain death.The nation of Panem, formed from a post-apocalyptic North America, is a country that consists of a wealthy Capitol region surrounded by 12 poorer districts. Early in its history, a rebellion led by a 13th district against the Capitol resulted in its destruction and the creation of an annual televised event known as the Hunger Games. In punishment, and as a reminder of the power and grace of the Capitol, each district must yield one boy and one girl between the ages of 12 and 18 through a lottery system to participate in the games. The 'tributes' are chosen during the annual Reaping and are forced to fight to the death, leaving only one survivor to claim victory.When 16-year-old Katniss's young sister, Prim, is selected as District 12's female representative, Katniss volunteers to take her place. She and her male counterpart Peeta, are pitted against bigger, stronger representatives, some of whom have trained for this their whole lives. , she sees it as a death sentence. But Katniss has been close to death before. For her, survival is second nature.
  ...more","/genres/young-adult;/genres/fiction;/genres/dystopia;/genres/fantasy;/genres/science-fiction;/genres/romance;/genres/adventure;/genres/teen;/genres/post-apocalyptic;/genres/action","25,369 users;13,447 users;12,551 users;10,538 users;8,514 users;3,253 users;3,171 users;1,755 users;1,440 users;1,252 users"
"2","/book/show/2.Harry_Potter_and_the_Order_of_the_Phoenix","Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling;Mary GrandPré","Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. His best friends Ron and Hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. However, what Harry discovers is far more devastating than he could ever have expected...Suspense, secrets and thrilling action from th
  Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. His best friends Ron and Hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. However, what Harry discovers is far more devastating than he could ever have expected...Suspense, secrets and thrilling action from the pen of J.K. Rowling ensure an electrifying adventure that is impossible to put down.
  ...more","/genres/fantasy;/genres/childrens;/genres/audiobook;/genres/novels","1,955 users;1,540 users;760 users;728 users"
"3","/book/show/2657.To_Kill_a_Mockingbird","To Kill a Mockingbird","Harper Lee","The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deepl
  The unforgettable novel of a childhood in a sleepy Southern town and the crisis of conscience that rocked it, To Kill A Mockingbird became both an instant bestseller and a critical success when it was first published in 1960. It went on to win the Pulitzer Prize in 1961 and was later made into an Academy Award-winning film, also a classic.Compassionate, dramatic, and deeply moving, To Kill A Mockingbird takes readers to the roots of human behavior - to innocence and experience, kindness and cruelty, love and hatred, humor and pathos. Now with over 18 million copies in print and translated into forty languages, this regional story by a young Alabama woman claims universal appeal. Harper Lee always considered her book to be a simple love story. Today it is regarded as a masterpiece of American literature.
  ...more","/genres/classics;/genres/historical-fiction;/genres/school;/genres/literature;/genres/young-adult;/genres/read-for-school;/genres/novels;/genres/historical;/genres/high-school;/genres/coming-of-age","31,068 users;4,558 users;2,880 users;2,427 users;2,348 users;1,355 users;1,287 users;1,251 users;901 users;894 users"
"4","/book/show/1885.Pride_and_Prejudice","Pride and Prejudice","Jane Austen","“It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited cour
  “It is a truth universally acknowledged, that a single man in possession of a good fortune must be in want of a wife.” So begins Pride and Prejudice, Jane Austen’s witty comedy of manners—one of the most popular novels of all time—that features splendidly civilized sparring between the proud Mr. Darcy and the prejudiced Elizabeth Bennet as they play out their spirited courtship in a series of eighteenth-century drawing-room intrigues. Renowned literary critic and historian George Saintsbury in 1894 declared it the “most perfect, the most characteristic, the most eminently quintessential of its author’s works,” and Eudora Welty in the twentieth century described it as “irresistible and as nearly flawless as any fiction could be.”--penguinrandomhouse.com
  ...more","/genres/fiction;/genres/classics;/genres/literature;/genres/historical","10,496 users;6,310 users;2,083 users;1,696 users"
"5","/book/show/41865.Twilight","Twilight (Twilight, #1)","Stephenie Meyer","About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cul
  About three things I was absolutely positive.First, Edward was a vampire.Second, there was a part of him—and I didn't know how dominant that part might be—that thirsted for my blood.And third, I was unconditionally and irrevocably in love with him.In the first book of the Twilight Saga, internationally bestselling author Stephenie Meyer introduces Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires. This is a love story with bite.
  ...more","/genres/young-adult;/genres/fantasy;/genres/romance;/genres/vampires;/genres/fiction;/genres/paranormal","16,077 users;13,832 users;8,810 users;7,361 users;6,140 users;5,045 users"
"6","/book/show/11127.The_Chronicles_of_Narnia","The Chronicles of Narnia (Chronicles of Narnia, #1-7)","C.S. Lewis;Pauline Baynes","Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Stables Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past
  Journeys to the end of the world, fantastic creatures, and epic battles between good and evil—what more could any reader ask for in one book? The book that has it all is The Lion, the Witch and the Wardrobe, written in 1949 by Clive Stables Lewis. But Lewis did not stop there. Six more books followed, and together they became known as The Chronicles of Narnia.For the past fifty years, The Chronicles of Narnia have transcended the fantasy genre to become part of the canon of classic literature. Each of the seven books is a masterpiece, drawing the reader into a land where magic meets reality, and the result is a fictional world whose scope has fascinated generations.This edition presents all seven books—unabridged—in one impressive volume. The books are presented here in chronlogical order, each chapter graced with an illustration by the original artist, Pauline Baynes. Deceptively simple and direct, The Chronicles of Narnia continue to captivate fans with adventures, characters, and truths that speak to readers of all ages, even fifty years after they were first published.
  ...more","/genres/childrens;/genres/fantasy;/genres/science-fiction-fantasy;/genres/christian-fiction;/genres/magic","587 users;368 users;336 users;320 users;252 users"
"7","/book/show/19063.The_Book_Thief","The Book Thief","Markus Zusak","It’s just a small story really, about among other things: a girl, some words, an accordionist, some fanatical Germans, a Jewish fist-fighter, and quite a lot of thievery. . . .Set during World War II in Germany, Markus Zusak’s groundbreaking new novel is the story of Liesel Meminger, a foster girl living outside of Munich. Liesel scratches out a meager existence for hersel
  It’s just a small story really, about among other things: a girl, some words, an accordionist, some fanatical Germans, a Jewish fist-fighter, and quite a lot of thievery. . . .Set during World War II in Germany, Markus Zusak’s groundbreaking new novel is the story of Liesel Meminger, a foster girl living outside of Munich. Liesel scratches out a meager existence for herself by stealing when she encounters something she can’t resist–books. With the help of her accordion-playing foster father, she learns to read and shares her stolen books with her neighbors during bombing raids as well as with the Jewish man hidden in her basement before he is marched to Dachau.This is an unforgettable story about the ability of books to feed the soul.
  ...more","/genres/historical-fiction;/genres/fiction;/genres/young-adult;/genres/historical;/genres/holocaust;/genres/war;/genres/world-war-ii;/genres/classics;/genres/germany;/genres/audiobook","13,048 users;8,841 users;8,366 users;3,114 users;1,593 users;1,569 users;1,125 users;1,116 users;655 users;647 users"
"8","/book/show/7613.Animal_Farm","Animal Farm","George Orwell","""All animals are equal. But some animals are more equal than others.""One night on an English farm, Major the boar recounts his vision of a utopia where his fellow creatures own the land along with the means of production and are no longer the slaves of humans.Before long his dream comes true, and for a short while all animals really are equal. But the clever pigs educate t
  ""All animals are equal. But some animals are more equal than others.""One night on an English farm, Major the boar recounts his vision of a utopia where his fellow creatures own the land along with the means of production and are no longer the slaves of humans.Before long his dream comes true, and for a short while all animals really are equal. But the clever pigs educate themselves and soon learn how to extend their own power, inevitably at the expense of the rest of the community.This well-loved tale is, of course, a satire on the Soviet Communist system that still remains a powerful warning despite the changes in world politics since ""Animal Farm"" was first published.This production is based on Orwell's own radio version which was first produced in 1947.
  ...more","/genres/literature;/genres/fantasy;/genres/school;/genres/dystopia;/genres/politics;/genres/science-fiction;/genres/novels","2,093 users;2,054 users;1,772 users;1,755 users;1,690 users;1,322 users;1,151 users"
"9","/book/show/18405.Gone_with_the_Wind","Gone with the Wind","Margaret Mitchell","Gone with the Wind is a novel written by Margaret Mitchell, first published in 1936. The story is set in Clayton County, Georgia, and Atlanta during the American Civil War and Reconstruction era. It depicts the struggles of young Scarlett O'Hara, the spoiled daughter of a well-to-do plantation owner, who must use every means at her disposal to claw her way out of the pover
  Gone with the Wind is a novel written by Margaret Mitchell, first published in 1936. The story is set in Clayton County, Georgia, and Atlanta during the American Civil War and Reconstruction era. It depicts the struggles of young Scarlett O'Hara, the spoiled daughter of a well-to-do plantation owner, who must use every means at her disposal to claw her way out of the poverty she finds herself in after Sherman's March to the Sea. A historical novel, the story is a Bildungsroman or coming-of-age story, with the title taken from a poem written by Ernest Dowson. Gone with the Wind was popular with American readers from the onset and was the top American fiction bestseller in the year it was published and in 1937. As of 2014, a Harris poll found it to be the second favorite book of American readers, just behind the Bible. More than 30 million copies have been printed worldwide.
  ...more","/genres/classics;/genres/historical-fiction;/genres/fiction;/genres/romance;/genres/historical","10,184 users;4,842 users;4,100 users;2,484 users;1,198 users"
"10","/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy","The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)","Douglas Adams","Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hi
  Seconds before the Earth is demolished to make way for a galactic freeway, Arthur Dent is plucked off the planet by his friend Ford Prefect, a researcher for the revised edition of The Hitchhiker's Guide to the Galaxy who, for the last fifteen years, has been posing as an out-of-work actor.Together this dynamic pair begin a journey through space aided by quotes from The Hitchhiker's Guide (""A towel is about the most massively useful thing an interstellar hitchhiker can have"") and a galaxy-full of fellow travelers: Zaphod Beeblebrox--the two-headed, three-armed ex-hippie and totally out-to-lunch president of the galaxy; Trillian, Zaphod's girlfriend (formally Tricia McMillan), whom Arthur tried to pick up at a cocktail party once upon a time zone; Marvin, a paranoid, brilliant, and chronically depressed robot; Veet Voojagig, a former graduate student who is obsessed with the disappearance of all the ballpoint pens he bought over the years.
  ...more","/genres/science-fiction;/genres/fiction;/genres/humor;/genres/fantasy;/genres/classics;/genres/comedy;/genres/science-fiction-fantasy;/genres/funny;/genres/adventure;/genres/audiobook","10,513 users;6,673 users;4,218 users;3,301 users;2,609 users;1,403 users;1,157 users;799 users;619 users;566 users"
