real,fake
M8,MN2
IG2,BC7
M21,BZ1
DN2,BT1
E18,BZ4
RM11,BT7
TW11,BT4
BD2,BC1
EN4,BC4
IG3,BZ7
BD18,XJ4
W4,CD1
TW5,DE8
IG8,RV2
LS28,JU1
BR5,MJ1
UB6,OW4
UB4,XW2
N11,XJ9
LS15,LR8
B9,TB7
B10,JW3
B11,EW3
B66,BS2
B8,CO9
B21,FY5
B12,QA3
B19,NU6
B5,DO2
B18,YU2
L4,XT9
S4,HJ1
L33,OI4
BD3,MV6
L11,CR6
M13,HK7
E12,LP7
L6,WH3
N22,SY7
E15,EM3
CM24,BJ4
NE1,LD5
DA9,ZW0
TW6,PY7
M60,MX0
W12,ZV2
M1,FW6
W2,RG2
W1K,VJ6
FY1,QX8
BS1,RG9
NG1,KA7
RH6,QO1
GU11,VX9
W1H,GH5
WD17,NB6
SO15,VS4
DN5,EV7
SA1,LH3
M4,EX2
TA2,NY8
B15,GY5
L13,UR5
CH1,NJ6
W1D,BS5
DE1,CQ7
SO17,JE4
LE1,VJ4
B26,FO1
WC1,QF1
LU1,VO2
LU2,JF8
AL5,RQ5
